EP-0805831-A1	19971112	NEUE POLYETHERPOLYOLE, POLYOLFORMULIERUNG ENTHALTEND DIESE POLYETHERPOLYOLE UND DEREN VERWENDUNG ZUR HERSTELLUNG VON HARTEN POLYURETHANSCHAUMSTOFFEN	BAYER AG	KLAEN WALTER,DIETRICH KARL-WERNER,LAMBERTS WILHELM,DIETRICH MANFRED
EP-1725782-A1	20061129	BOLZENKÄFIG FÜR EIN ZWEIREIHIGES PENDELROLLENLAGER	SCHAEFFLER KG	GREHN MARTIN,SCHROEDER RAINER
EP-0290898-A1	19881117	Verfahren zur Herstellung eines Werkstücks beliebiger Querschnittsabmessungen aus einer oxyddispersionsgehärteten Nickelbasis-Superlegierung mit gerichteten groben Stengelkristallen.	BBC BROWN BOVERI & CIE	VERPOORT CLEMENS DR
EP-0651031-A1	19950503	Verfahren zur Einfärbung von organischen Medien.	BAYER AG	EITEL MANFRED DR,LINDE GUENTER DR
EP-0131270-A1	19850116	Feststoffabsorber für einen Absorptionskreisprozess.	SCHIEDEL GMBH & CO	JANUSCHKOWETZ GERHARD DIPL-PHY
EP-1487605-A1	20041222	VORRICHTUNG UND VERFAHREN ZUR LASERSTRUKTURIERUNG VON FUNKTIONSPOLYMEREN UND VERWENDUNGEN	SIEMENS AG	CLEMENS WOLFGANG,STOHN RALF-INGO,SCHROEDNER MARIO,ROTH HANS-KLAUS,BERNDS ADOLF
EP-1530945-A1	20050518	Gerät zur Durchführung von Untersuchungen am menschlichen Auge	OCULUS OPTIKGERAETE GMBH	STEINMUELLER ANDREAS
EP-0447655-A1	19910925	Granulierte Fotochemikalien.	AGFA GEVAERT AG	REUTER KARL-HEINZ,MECKL HEINZ DR
EP-0262256-A1	19880406	Nockenwelle eines Hubkolbenmotors.	EMMEL WERNER DIPL ING	EMMEL WERNER DIPL-ING
EP-0935728-A1	19990818	SCHEINWERFER FÜR FAHRZEUGE	HELLA KG HUECK & CO	TOPP EWALD,KALZE FRANZ-JOSEF,EICHHORN KARSTEN
EP-0403959-A1	19901227	Filmbildendes wässriges Überzugsmittel für feste Arzneimittel, Verfahren zu seiner Herstellung und Verwendung.	ROEHM GMBH	LEHMANN KLAUS DR,PETEREIT HANS-ULRICH,ASSMUS MANFRED
EP-1571303-A1	20050907	Vorrichtung zum Reinigen von Fahrzeugabgasen, insbesondere Dieselrussfilter	ARVIN TECHNOLOGIES INC	KRONER PETER,STEINHAUSER OTTO,NOLLER CHRISTOPH
EP-0688932-A1	19951227	Schwingflügeltüre für einen Personendurchgang	WANZL ENTWICKLUNG GMBH	ERTLE KARL
EP-1818099-A1	20070815	Mahlwerk zur Zerkleinerung von körnigem Material, insbesondere im Nahrungsmittelbereich	ELDOM ROTHRIST AG	ETZINGER CHRISTIAN,ACKERMANN RENE
EP-1193373-A1	20020403	Verfahren zum Betreiben einer Gas- und Dampfturbinenanlage sowie entsprechende Anlage	SIEMENS AG	SCHWARZOTT WERNER,SCHMID ERICH
EP-0445074-A1	19910904	N-(2,6-Dinitro-3-chlor-4-trifluoromethylphenyl)-4-amino-6-fluorpyrimidin-Derivate und ihre Anwendung als Mikrobizide.		
EP-1248513-A1	20021016	VORRICHTUNG ZUM VERARBEITEN LANDWIRTSCHAFTLICHER PRODUKTE, INSBESONDERE VON FUTTERMAIS	LISIBACH URS	LISIBACH URS
EP-0398103-A1	19901122	Massendurchflussmessgerät.	KROHNE MESSTECHNIK MASSAMETRON	CHI HUNG NGUYEN DR DIPL-ING
EP-0252101-A1	19880113	VORRICHTUNG ZUR KONTINUIERLICHEN ODER DISKONTINUIERLICHEN VERABREICHUNG VON INSULIN IN DEN MENSCHLICHEN KÖRPER.	SCHREZENMEIR JUERGEN	SCHREZENMEIER JURGEN
EP-1629330-A1	20060301	KAPAZITIVER BERÜHRUNGSSCHALTER	E G O CONTROL SYSTEMS GMBH	STREIFLER ROLF
EP-0663852-A1	19950726	VERFAHREN ZUM REINIGEN DER FILTRATIONSMODULE EINER ANLAGE ZUR KLÄRUNG VON FLÜSSIGKEITEN.	BUCHER GUYER AG MASCH	HARTMANN EDUARD
EP-0580985-A1	19940202	Vorrichtung zum Entfernen von Etiketten von Behältern.	ALFILL GETRAENKETECHNIK	SEIFERT GUENTER,NAECKER JENS
EP-1663946-A1	20060607	VERFAHREN ZUR HERSTELLUNG VON XYLYLENDIAMIN DURCH KONTINUIERLICHE HYDRIERUNG VON FLÜSSIGEM PHTHALODINITRIL	BASF AG	PREISS THOMAS,HUGO RANDOLF,JOURDAN SABINE,WENZ KIRSTEN
EP-0429716-A1	19910605	Elektronisches Vorschaltgerät für Leuchtstofflampen.	SIEMENS AG	KROENING ARMIN DIPL-ING
EP-1319144-A1	20030618	KARTUSCHE FÜR EINE SANITÄRARMATUR	HANSGROHE AG	LORCH WERNER
EP-1491580-A1	20041229	Mischung für Mäntel von optischen oder elektrischen Kabeln	NEXANS	DINKELMEYER CHRISTOF,MEHL ALFRED,MUELLER FRIEDRICH
EP-1493874-A1	20050105	Toilettenschüssel	ROEDIGER VAKUUM UND HAUSTECHNI	GALLER LOTHAR
